m,n,r,a,b,rep,method,success,runs,time_taken
10,10,3,-3,3,0,QMF_RAND,7,1136141,600.00
10,10,3,-3,3,0,QMF_SVD,0,1,0.00
10,10,3,-3,3,0,OURS,58336,60144,600.00
10,10,3,-3,3,1,QMF_RAND,205,1142265,600.00
10,10,3,-3,3,1,QMF_SVD,0,1,0.00
10,10,3,-3,3,1,OURS,80283,82074,600.00
10,10,3,-3,3,2,QMF_RAND,21,1059457,600.00
10,10,3,-3,3,2,QMF_SVD,0,1,0.00
10,10,3,-3,3,2,OURS,38790,40595,600.00
10,10,3,-3,3,3,QMF_RAND,3823,1076974,600.00
10,10,3,-3,3,3,QMF_SVD,0,1,0.00
10,10,3,-3,3,3,OURS,32872,34630,600.00
10,10,3,-3,3,4,QMF_RAND,348,973773,600.00
10,10,3,-3,3,4,QMF_SVD,0,1,0.00
10,10,3,-3,3,4,OURS,51685,53233,600.00
10,10,3,-5,5,0,QMF_RAND,0,973366,600.00
10,10,3,-5,5,0,QMF_SVD,0,1,0.00
10,10,3,-5,5,0,OURS,18777,20384,600.00
10,10,3,-5,5,1,QMF_RAND,14,943329,600.00
10,10,3,-5,5,1,QMF_SVD,0,1,0.00
10,10,3,-5,5,1,OURS,25326,26931,600.00
10,10,3,-5,5,2,QMF_RAND,4,838889,600.00
10,10,3,-5,5,2,QMF_SVD,0,1,0.00
10,10,3,-5,5,2,OURS,9174,10770,600.00
10,10,3,-5,5,3,QMF_RAND,24,991358,600.00
10,10,3,-5,5,3,QMF_SVD,0,1,0.00
10,10,3,-5,5,3,OURS,8922,10579,600.00
10,10,3,-5,5,4,QMF_RAND,1,853617,600.00
10,10,3,-5,5,4,QMF_SVD,0,1,0.00
10,10,3,-5,5,4,OURS,9616,11287,600.00
20,20,5,-5,5,0,QMF_RAND,0,325286,600.00
20,20,5,-5,5,0,QMF_SVD,0,1,0.01
20,20,5,-5,5,0,OURS,566,1599,600.00
20,20,5,-5,5,1,QMF_RAND,0,321933,600.00
20,20,5,-5,5,1,QMF_SVD,0,1,0.00
20,20,5,-5,5,1,OURS,827,1838,600.01
20,20,5,-5,5,2,QMF_RAND,0,321975,600.00
20,20,5,-5,5,2,QMF_SVD,0,1,0.00
20,20,5,-5,5,2,OURS,2587,3593,600.00
20,20,5,-5,5,3,QMF_RAND,0,342749,600.00
20,20,5,-5,5,3,QMF_SVD,0,1,0.00
20,20,5,-5,5,3,OURS,1103,2115,600.00
20,20,5,-5,5,4,QMF_RAND,0,318118,600.00
20,20,5,-5,5,4,QMF_SVD,0,1,0.00
20,20,5,-5,5,4,OURS,989,2026,600.01
20,20,5,-16,15,0,QMF_RAND,0,192574,600.00
20,20,5,-16,15,0,QMF_SVD,0,1,0.00
20,20,5,-16,15,0,OURS,0,554,600.01
20,20,5,-16,15,1,QMF_RAND,0,195095,600.00
20,20,5,-16,15,1,QMF_SVD,0,1,0.00
20,20,5,-16,15,1,OURS,0,1027,600.01
20,20,5,-16,15,2,QMF_RAND,0,181149,600.00
20,20,5,-16,15,2,QMF_SVD,0,1,0.00
20,20,5,-16,15,2,OURS,6,1004,600.01
20,20,5,-16,15,3,QMF_RAND,0,196199,600.00
20,20,5,-16,15,3,QMF_SVD,0,1,0.00
20,20,5,-16,15,3,OURS,0,1012,600.00
20,20,5,-16,15,4,QMF_RAND,0,188485,600.00
20,20,5,-16,15,4,QMF_SVD,0,1,0.00
20,20,5,-16,15,4,OURS,0,1006,600.00
50,50,5,-16,15,0,QMF_RAND,0,92466,600.01
50,50,5,-16,15,0,QMF_SVD,0,1,0.01
50,50,5,-16,15,0,OURS,3,714,600.00
50,50,5,-16,15,1,QMF_RAND,0,83020,600.01
50,50,5,-16,15,1,QMF_SVD,0,1,0.01
50,50,5,-16,15,1,OURS,116,525,600.01
50,50,5,-16,15,2,QMF_RAND,0,80108,600.00
50,50,5,-16,15,2,QMF_SVD,0,1,0.01
50,50,5,-16,15,2,OURS,32,745,600.01
50,50,5,-16,15,3,QMF_RAND,0,78875,600.00
50,50,5,-16,15,3,QMF_SVD,0,1,0.01
50,50,5,-16,15,3,OURS,118,837,600.00
50,50,5,-16,15,4,QMF_RAND,0,92470,600.00
50,50,5,-16,15,4,QMF_SVD,0,1,0.00
50,50,5,-16,15,4,OURS,165,833,600.01
